participant_id	ses_7_anat	ses_7_func_run_01	ses_7_func_run_02	ses_9_anat	ses_9_func_run_01	ses_9_func_run_02	selection_note
sub-5029	sub-5029_ses-7_acq-D1S2_T1w.nii.gz	sub-5029_ses-7_task-Sem_acq-D1S11_run-01_bold.nii.gz	sub-5029_ses-7_task-Sem_acq-D1S9_run-02_bold.nii.gz	sub-5029_ses-9_acq-D1S2_T1w.nii.gz	sub-5029_ses-9_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5029_ses-9_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5032	sub-5032_ses-7_acq-D1S2_T1w.nii.gz	sub-5032_ses-7_task-Sem_acq-D1S5_run-01_bold.nii.gz	sub-5032_ses-7_task-Sem_acq-D1S3_run-02_bold.nii.gz	sub-5032_ses-9_acq-D1S2_T1w.nii.gz	sub-5032_ses-9_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5032_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5034	sub-5034_ses-7_acq-D1S8_T1w.nii.gz	sub-5034_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5034_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5034_ses-9_acq-D1S2_T1w.nii.gz	sub-5034_ses-9_task-Sem_acq-D1S12_run-01_bold.nii.gz	sub-5034_ses-9_task-Sem_acq-D1S10_run-02_bold.nii.gz	
sub-5040	sub-5040_ses-7_acq-D1S2_T1w.nii.gz	sub-5040_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5040_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5040_ses-9_acq-D1S2_T1w.nii.gz	sub-5040_ses-9_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5040_ses-9_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5042	sub-5042_ses-7_acq-D1S2_T1w.nii.gz	sub-5042_ses-7_task-Sem_acq-D1S10_run-01_bold.nii.gz	sub-5042_ses-7_task-Sem_acq-D1S8_run-02_bold.nii.gz	sub-5042_ses-9_acq-D1S7_T1w.nii.gz	sub-5042_ses-9_task-Sem_acq-D1S10_run-01_bold.nii.gz	sub-5042_ses-9_task-Sem_acq-D1S12_run-02_bold.nii.gz	
sub-5043	sub-5043_ses-7_acq-D1S2_T1w.nii.gz	sub-5043_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5043_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5043_ses-9_acq-D1S2_T1w.nii.gz	sub-5043_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5043_ses-9_task-Sem_acq-D3S14_run-02_bold.nii.gz	
sub-5054	sub-5054_ses-7_acq-D1S2_T1w.nii.gz	sub-5054_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5054_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5054_ses-9_acq-D1S2_T1w.nii.gz	sub-5054_ses-9_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5054_ses-9_task-Sem_acq-D3S4_run-02_bold.nii.gz	
sub-5055	sub-5055_ses-7_acq-D1S2_T1w.nii.gz	sub-5055_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5055_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5055_ses-9_acq-D1S2_T1w.nii.gz	sub-5055_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5055_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5058	sub-5058_ses-7_acq-D2S2_T1w.nii.gz	sub-5058_ses-7_task-Sem_acq-D1S4_run-01_bold.nii.gz	sub-5058_ses-7_task-Sem_acq-D1S2_run-02_bold.nii.gz	sub-5058_ses-9_acq-D1S2_T1w.nii.gz	sub-5058_ses-9_task-Sem_acq-D1S5_run-01_bold.nii.gz	sub-5058_ses-9_task-Sem_acq-D1S3_run-02_bold.nii.gz	
sub-5069	sub-5069_ses-7_acq-D1S2_T1w.nii.gz	sub-5069_ses-7_task-Sem_acq-D3S4_run-01_bold.nii.gz	sub-5069_ses-7_task-Sem_acq-D3S2_run-02_bold.nii.gz	sub-5069_ses-9_acq-D1S2_T1w.nii.gz	sub-5069_ses-9_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5069_ses-9_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5070	sub-5070_ses-7_acq-D1S2_T1w.nii.gz	sub-5070_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5070_ses-7_task-Sem_acq-D2S10_run-02_bold.nii.gz	sub-5070_ses-9_acq-D1S2_T1w.nii.gz	sub-5070_ses-9_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5070_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5074	sub-5074_ses-7_acq-D1S2_T1w.nii.gz	sub-5074_ses-7_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5074_ses-7_task-Sem_acq-D2S3_run-02_bold.nii.gz	sub-5074_ses-9_acq-D1S3_T1w.nii.gz	sub-5074_ses-9_task-Sem_acq-D3S10_run-01_bold.nii.gz	sub-5074_ses-9_task-Sem_acq-D3S6_run-02_bold.nii.gz	
sub-5091	sub-5091_ses-7_acq-D1S2_T1w.nii.gz	sub-5091_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5091_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5091_ses-9_acq-D1S3_T1w.nii.gz	sub-5091_ses-9_task-Sem_acq-D1S10_run-01_bold.nii.gz	sub-5091_ses-9_task-Sem_acq-D1S6_run-02_bold.nii.gz	
sub-5103	sub-5103_ses-7_acq-D1S2_T1w.nii.gz	sub-5103_ses-7_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5103_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5103_ses-9_acq-D1S2_T1w.nii.gz	sub-5103_ses-9_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5103_ses-9_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5109	sub-5109_ses-7_acq-D1S2_T1w.nii.gz	sub-5109_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5109_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5109_ses-9_acq-D1S2_T1w.nii.gz	sub-5109_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5109_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5120	sub-5120_ses-7_acq-D1S2_T1w.nii.gz	sub-5120_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5120_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5120_ses-9_acq-D1S2_T1w.nii.gz	sub-5120_ses-9_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5120_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5125	sub-5125_ses-7_acq-D1S2_T1w.nii.gz	sub-5125_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5125_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5125_ses-9_acq-D1S13_T1w.nii.gz	sub-5125_ses-9_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5125_ses-9_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5136	sub-5136_ses-7_acq-D1S11_T1w.nii.gz	sub-5136_ses-7_task-Sem_acq-D2S15_run-01_bold.nii.gz	sub-5136_ses-7_task-Sem_acq-D2S13_run-02_bold.nii.gz	sub-5136_ses-9_acq-D1S3_T1w.nii.gz	sub-5136_ses-9_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5136_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5140	sub-5140_ses-7_acq-D1S2_T1w.nii.gz	sub-5140_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5140_ses-7_task-Sem_acq-D2S12_run-02_bold.nii.gz	sub-5140_ses-9_acq-D1S2_T1w.nii.gz	sub-5140_ses-9_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5140_ses-9_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5147	sub-5147_ses-7_acq-D1S2_T1w.nii.gz	sub-5147_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5147_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5147_ses-9_acq-D1S2_T1w.nii.gz	sub-5147_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5147_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5149	sub-5149_ses-7_acq-D1S2_T1w.nii.gz	sub-5149_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5149_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5149_ses-9_acq-D1S2_T1w.nii.gz	sub-5149_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5149_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5151	sub-5151_ses-7_acq-D1S2_T1w.nii.gz	sub-5151_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5151_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5151_ses-9_acq-D1S2_T1w.nii.gz	sub-5151_ses-9_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5151_ses-9_task-Sem_acq-D2S10_run-02_bold.nii.gz	
sub-5153	sub-5153_ses-7_acq-D2S2_T1w.nii.gz	sub-5153_ses-7_task-Sem_acq-D2S3_run-01_bold.nii.gz	sub-5153_ses-7_task-Sem_acq-D2S5_run-02_bold.nii.gz	sub-5153_ses-9_acq-D1S2_T1w.nii.gz	sub-5153_ses-9_task-Sem_acq-D1S5_run-01_bold.nii.gz	sub-5153_ses-9_task-Sem_acq-D1S7_run-02_bold.nii.gz	
sub-5157	sub-5157_ses-7_acq-D1S2_T1w.nii.gz	sub-5157_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5157_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5157_ses-9_acq-D1S2_T1w.nii.gz	sub-5157_ses-9_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5157_ses-9_task-Sem_acq-D2S11_run-02_bold.nii.gz	
sub-5158	sub-5158_ses-7_acq-D2S2_T1w.nii.gz	sub-5158_ses-7_task-Sem_acq-D1S3_run-01_bold.nii.gz	sub-5158_ses-7_task-Sem_acq-D1S5_run-02_bold.nii.gz	sub-5158_ses-9_acq-D1S2_T1w.nii.gz	sub-5158_ses-9_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5158_ses-9_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5163	sub-5163_ses-7_acq-D1S15_T1w.nii.gz	sub-5163_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5163_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5163_ses-9_acq-D1S2_T1w.nii.gz	sub-5163_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5163_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5187	sub-5187_ses-7_acq-D1S3_T1w.nii.gz	sub-5187_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5187_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5187_ses-9_acq-D1S2_T1w.nii.gz	sub-5187_ses-9_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5187_ses-9_task-Sem_acq-D2S11_run-02_bold.nii.gz	
sub-5211	sub-5211_ses-7_acq-D1S2_T1w.nii.gz	sub-5211_ses-7_task-Sem_acq-D2S9_run-01_bold.nii.gz	sub-5211_ses-7_task-Sem_acq-D2S11_run-02_bold.nii.gz		sub-5211_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5211_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	missing anat selection for ses-9
sub-5215	sub-5215_ses-7_acq-D1S2_T1w.nii.gz	sub-5215_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5215_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5215_ses-9_acq-D1S2_T1w.nii.gz	sub-5215_ses-9_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5215_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5231	sub-5231_ses-7_acq-D3S2_T1w.nii.gz	sub-5231_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5231_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5231_ses-9_acq-D1S2_T1w.nii.gz	sub-5231_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5231_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5308	sub-5308_ses-7_acq-D1S2_T1w.nii.gz	sub-5308_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5308_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5308_ses-9_acq-D1S13_T1w.nii.gz	sub-5308_ses-9_task-Sem_acq-D1S3_run-01_bold.nii.gz	sub-5308_ses-9_task-Sem_acq-D1S5_run-02_bold.nii.gz	
sub-5312	sub-5312_ses-7_acq-D1S2_T1w.nii.gz	sub-5312_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5312_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5312_ses-9_acq-D1S2_T1w.nii.gz	sub-5312_ses-9_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5312_ses-9_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5317	sub-5317_ses-7_acq-D2S2_T1w.nii.gz	sub-5317_ses-7_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5317_ses-7_task-Sem_acq-D2S10_run-02_bold.nii.gz	sub-5317_ses-9_acq-D1S2_T1w.nii.gz	sub-5317_ses-9_task-Sem_acq-D1S6_run-01_bold.nii.gz	sub-5317_ses-9_task-Sem_acq-D1S4_run-02_bold.nii.gz	
sub-5334	sub-5334_ses-7_acq-D1S2_T1w.nii.gz	sub-5334_ses-7_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5334_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5334_ses-9_acq-D1S2_T1w.nii.gz	sub-5334_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5334_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5357	sub-5357_ses-7_acq-D1S2_T1w.nii.gz	sub-5357_ses-7_task-Sem_acq-D2S18_run-01_bold.nii.gz	sub-5357_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5357_ses-9_acq-D1S2_T1w.nii.gz	sub-5357_ses-9_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5357_ses-9_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5365	sub-5365_ses-7_acq-D1S2_T1w.nii.gz	sub-5365_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5365_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5365_ses-9_acq-D1S2_T1w.nii.gz	sub-5365_ses-9_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5365_ses-9_task-Sem_acq-D2S4_run-02_bold.nii.gz	
sub-5367	sub-5367_ses-7_acq-D1S2_T1w.nii.gz	sub-5367_ses-7_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5367_ses-7_task-Sem_acq-D2S2_run-02_bold.nii.gz	sub-5367_ses-9_acq-D1S2_T1w.nii.gz	sub-5367_ses-9_task-Sem_acq-D1S11_run-01_bold.nii.gz	sub-5367_ses-9_task-Sem_acq-D1S5_run-02_bold.nii.gz	
sub-5374	sub-5374_ses-7_acq-D1S2_T1w.nii.gz	sub-5374_ses-7_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5374_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5374_ses-9_acq-D1S2_T1w.nii.gz	sub-5374_ses-9_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5374_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
sub-5379	sub-5379_ses-7_acq-D1S2_T1w.nii.gz	sub-5379_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5379_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5379_ses-9_acq-D2S16_T1w.nii.gz	sub-5379_ses-9_task-Sem_acq-D2S14_run-01_bold.nii.gz	sub-5379_ses-9_task-Sem_acq-D2S12_run-02_bold.nii.gz	
sub-5409	sub-5409_ses-7_acq-D1S2_T1w.nii.gz	sub-5409_ses-7_task-Sem_acq-D2S10_run-01_bold.nii.gz	sub-5409_ses-7_task-Sem_acq-D2S6_run-02_bold.nii.gz	sub-5409_ses-9_acq-D1S2_T1w.nii.gz	sub-5409_ses-9_task-Sem_acq-D2S4_run-01_bold.nii.gz	sub-5409_ses-9_task-Sem_acq-D2S2_run-02_bold.nii.gz	
sub-5414	sub-5414_ses-7_acq-D1S2_T1w.nii.gz	sub-5414_ses-7_task-Sem_acq-D2S2_run-01_bold.nii.gz	sub-5414_ses-7_task-Sem_acq-D2S4_run-02_bold.nii.gz	sub-5414_ses-9_acq-D1S2_T1w.nii.gz	sub-5414_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5414_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5430	sub-5430_ses-7_acq-D1S2_T1w.nii.gz	sub-5430_ses-7_task-Sem_acq-D1S7_run-01_bold.nii.gz	sub-5430_ses-7_task-Sem_acq-D1S9_run-02_bold.nii.gz	sub-5430_ses-9_acq-D1S3_T1w.nii.gz	sub-5430_ses-9_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5430_ses-9_task-Sem_acq-D2S10_run-02_bold.nii.gz	
sub-5435	sub-5435_ses-7_acq-D1S2_T1w.nii.gz	sub-5435_ses-7_task-Sem_acq-D1S9_run-01_bold.nii.gz	sub-5435_ses-7_task-Sem_acq-D1S7_run-02_bold.nii.gz	sub-5435_ses-9_acq-D1S2_T1w.nii.gz	sub-5435_ses-9_task-Sem_acq-D1S7_run-01_bold.nii.gz	sub-5435_ses-9_task-Sem_acq-D1S9_run-02_bold.nii.gz	
sub-5447	sub-5447_ses-7_acq-D1S2_T1w.nii.gz	sub-5447_ses-7_task-Sem_acq-D2S12_run-01_bold.nii.gz	sub-5447_ses-7_task-Sem_acq-D2S10_run-02_bold.nii.gz	sub-5447_ses-9_acq-D1S11_T1w.nii.gz	sub-5447_ses-9_task-Sem_acq-D2S8_run-01_bold.nii.gz	sub-5447_ses-9_task-Sem_acq-D2S6_run-02_bold.nii.gz	
sub-5460	sub-5460_ses-7_acq-D2S2_T1w.nii.gz	sub-5460_ses-7_task-Sem_acq-D2S5_run-01_bold.nii.gz	sub-5460_ses-7_task-Sem_acq-D2S3_run-02_bold.nii.gz	sub-5460_ses-9_acq-D1S2_T1w.nii.gz	sub-5460_ses-9_task-Sem_acq-D1S5_run-01_bold.nii.gz	sub-5460_ses-9_task-Sem_acq-D1S3_run-02_bold.nii.gz	
sub-5476	sub-5476_ses-7_acq-D1S2_T1w.nii.gz	sub-5476_ses-7_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5476_ses-7_task-Sem_acq-D2S8_run-02_bold.nii.gz	sub-5476_ses-9_acq-D1S2_T1w.nii.gz	sub-5476_ses-9_task-Sem_acq-D2S6_run-01_bold.nii.gz	sub-5476_ses-9_task-Sem_acq-D2S8_run-02_bold.nii.gz	
